epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,944.277,0.93908,0.64112,0.98241,0.59755,0.56676,0.56288,0.39275,1.04763,0.75265,1.02257,0.000273899,0.000273899,0.000273899
43,966.954,0.93311,0.63631,0.97863,0.5889,0.51038,0.56897,0.40673,1.03449,0.74901,1.02318,0.000267019,0.000267019,0.000267019
44,989.262,0.9249,0.6242,0.97632,0.58191,0.59193,0.57723,0.40537,1.04555,0.74824,1.03222,0.000260138,0.000260138,0.000260138
45,1011.54,0.92229,0.6238,0.97133,0.51288,0.61214,0.57735,0.41712,1.04517,0.75432,1.02762,0.000253258,0.000253258,0.000253258
46,1034.06,0.91323,0.61436,0.97127,0.5872,0.61565,0.55857,0.39177,1.04438,0.75825,1.03043,0.000246377,0.000246377,0.000246377
47,1056.36,0.91329,0.61263,0.97058,0.62388,0.54764,0.58378,0.41838,1.0402,0.7532,1.03341,0.000239497,0.000239497,0.000239497
48,1078.6,0.91115,0.60952,0.96719,0.64085,0.61318,0.60571,0.43529,1.04724,0.75414,1.03353,0.000232616,0.000232616,0.000232616
49,1100.78,0.90736,0.60775,0.96885,0.52014,0.6523,0.59146,0.41546,1.04454,0.74878,1.03109,0.000225736,0.000225736,0.000225736
50,1122.67,0.90437,0.60393,0.96574,0.5503,0.54377,0.57089,0.40248,1.03402,0.74667,1.02918,0.000218855,0.000218855,0.000218855
51,1144.77,0.89507,0.59266,0.96658,0.49769,0.6025,0.57208,0.4148,1.03879,0.75417,1.03879,0.000211975,0.000211975,0.000211975
52,1166.99,0.90335,0.595,0.96909,0.60536,0.53046,0.57502,0.40012,1.04411,0.75933,1.04164,0.000205095,0.000205095,0.000205095
53,1189.25,0.88768,0.58448,0.96154,0.64195,0.57934,0.58539,0.41475,1.05229,0.75829,1.0354,0.000198214,0.000198214,0.000198214
54,1211.22,0.89365,0.5843,0.96142,0.68006,0.55332,0.58361,0.40473,1.04298,0.75305,1.03518,0.000191334,0.000191334,0.000191334
55,1233.1,0.88601,0.57879,0.95999,0.5456,0.58343,0.57667,0.41305,1.04344,0.76032,1.03145,0.000184453,0.000184453,0.000184453
